term,definition
anaesthesia parasacralis,keresztcsont körüli érzéstelenítés
anaesthesia partialis,részleges érzéstelenítés
anaesthesia periduralis,dura körüli érzéstelenítés
anaesthesia rectalis,érzéstelenítés végbélen keresztül
anaesthesia sacralis,keresztcsonti érzéstelenítés
anaesthesia sacralis,szakrális anesztézia
anaesthesia spinalis,gerincvelői érzéstelenítés
anaesthesia totalis,teljes érzéstelenség
anaesthesiologia,érzéstelenítéssel és érzéstelenítőszerekkel foglalkozó tudományág
anaesthesiologus,altatóorvos
anaesthetica,érzéstelenítőszerek
anaesthetica generalia,általános érzéstelenítők
anaesthetica localia,helyi érzéstelenítők
anaestheticum,érzéstelenítőszer
"anaestheticum, anaesthetica",anesztetikum
anaesthetiea generalia,altatószer
anafilaktoid,anafilaxiához hasonló
anafilaxia,heves túlérzékenységi reakció
analeptica,központi idegrendszert izgató szerek
analepticum,központi idegrendszert izgató szer
analgaesia,"fájdalomcsillapítás, fájdalommentesség (pl. műtétek során nem elég csak a beteg elaltatása, fájdalmat is csillapítani kell)"
analgetica,fájdalomcsillapítók
analgeticum,fájdalomcsillapító
analgeticus,fájdalomcsillapító
analis,"anális, végbélnyílással kapcsolatos"
analysatori neurales,ideg elemzők
analysis,"analízis, elemzés"
analysis laboratorica,laboratóriumi elemzés
anamnesis,anamnézis
anamnesis,"kórelőzmény, kórtörténet"
anancasticus,kényszeres
anaphrodisiaca,nemi inger csillapító
anaphylactogen,heves túlérzékenységet indukáló
anaphylaxia,heves túlérzékenységi reakció
anasarca,bőr alatti vizenyő
anasztomózis,"összeköttetés, sebészi úton történő összeköttetés (pl. erek vagy bélszakaszok között)"
anatomia,bonctan
anatomia comparativa,összehasonlító anatomia
Anatomicus,Anatómiai
anconagra,könyökízület köszvénye
anconeus,könyökfeszítő izom
Ancylostoma duodenale,bányaféreg
andr-,férfi
androgen,androgén
androtrichia,férfias szőrzet nőn
anencephalia,agyvelő hiánya
anesztézia,a sebészi beavatkozások során létrejövő alvás és fájdalommmentesség
aneszteziológus,"azok az orvosok és szakdolgozók, akik létrehozzák a betegben az anesztéziát"
aneurizma,"az érfal (vagy a szívizom) elvékonyodott, kiboltosuló része"
aneurysma cerebralis,agyi értágulat
aneurysma circumscripta,ér körülírt kiöblösödése
aneurysma dissecans,érfalbevérzés okozta értágulat
angiectasis,értágulat
angiitis,érgyulladás
angina,"torokgyulladás, szorongató fájdalom"
angina animi,halálérzet
angina catarrhalis,hurutos garatgyulladás
angina pectoris,"szívtáji fájdalom, szorító mellkasfájdalom"
angina pectoris sine dolore,halálérzet
angina simplex,garatnyálkahártya gyulladása
angina ulcero-membranosa,fekélyes- álhártyás torokgyulladás
angio-,"ér-, erekkel kapcsolatos"
angiofibrosarcoma,rostos érhúsdaganat
angiogenesis,"érképződés, vérellátás kialakulása"
angiográfia,"""érfestés"", az erek kontrasztanyag intravénás adásával láthatóvá válnak röntgensugár alatt"
angiolipoma,"érzsírdaganat, nem rosszindulatú érzsírdaganat"
angiolith,érkő
angiologia,értan
angioma,érdaganat
angiomalacia,érfallágyulás
angiomatosis,töbszörös érdaganat
angioparalysis,érbénulás
angioparesis,ér vazomotoros bénulása
angiopathia,érbántalom
angiopathia diabetica,cukorbetegség okozta érbetegség
angiopathia retinae hypertonica,magas vérnyomás okozta szemfenék érbetegség
angioplastica,érplasztika
angiorrhexis,érszakadás
angiosarcoma,érhúsdaganat
angiosclerosis,érkeményedés
angiostenosis,érszűkület
angitis,érgyulladás
angor animae,beteges félelem a haláltól
anguillula stercoralis,fonálféreg
angularis,sarki
angulatio ureteris,húgyvezeték szögletes megtörése
angulus,szöglet
angulus costae,bordaszöglet
angulus infectiosus,fertőzött szájzúg
angulus infectiosus,száji kipállás
angulus iridocornealis,csarnokzúg
angulus pontocerebellaris,kisagy-híd szög
angulus pubis,szeméremszöglet
angulus sterni,szegycsonti szöglet
angulus visus,látásszög
angustia,szűkület
angustia aortica,nyelőcsőszűkület az aortánál
angustifolius,szorongó
anhydraemia,vérbesűrűsödés
anhydramnion,magzatvíz hiánya
anhydricus,vízmentes
anilinum,anilin
animalia,állatok
animatio suspensa,látszólagos halál
aniridia,szivárványhártya hiánya
Anisati stellati fructus,csillagánizs termése
Anisi fructus,ánizs termése
anismus,fájdalmas székletürítés
anisocoria,egyenlőtlen pupillák
anisocytosis,anizocitózis
anisomicrocytosis,különböző nagyságú kis sejtek a vérben
anisopoikilocytosis,eltérő méretű és formájú vörösvérsejtek
anisum stellatum,csillagos ánizs
anisum vulgare,közönséges ánizs
ankyloblepharon,szemhéjösszenövés
ankyloglossia,nyelvlenövés
ankylosis,merev izület
ankylosis temporomandibularis,állkapocsizület összenövése
anodontia,fogcsírahiány
anodontia partialis,"részleges fogcsírahiány, nagyobb fogcsoport hiánya"
anodontia totalis,teljes fogcsírahiány
anodontia vera,minden fog csírahiánya
anomalia,"anomália, a normáltól eltérő"
anonymus,ismeretelen
anoophoria,petefészek hiánya
anopheles maculipennis,foltos maláriaszúnyog
anopia,szem hiánya
anopsia,vakság
anorectalis,végbélnyíláshoz és végbélhez tartozó
anorexia,"evészavar, lelki eredetű étvágytalanság"
anorexia nervosa,lelki eredetű étvágytalanság
anorexigen,éhségérzet-csökkentő
anorgasmus,kéjérzés hiánya
anosmia,szaglásérzés hiánya
anostosis,csontfejlődés zavara
anotia,fül hiánya
anovaria,petefészek hiánya
anoxia,oxigén nélküli állapot
ansa,"kapcsolat, hurok, nyél"
ansa Henlei,Henle-féle kacs
ansa intestinalis,bélkacs
ansa nephroni,Henle-féle kacs
ansa umbilicalis,köldökhurok
anserinus,libával kapcsolatos
ant(i)-,ellen-
antacidum,savközömbösítők
antagonismus,ellentétesség
Antagonista,"ellentétesen működő, ellentétes"
ante,valami előtt
ante cibum,evés előtt
ante meridiem,reggel
ante mortem,halál előtt
ante partum,születés előtt
antebrachium,alkar
antefléxio,előrehajlás
antenatalis,születés előtti
antenna,csáp
antepositio,elhelyezkedés elöl
anterior,elülső
anterior dexter,jobb mellső
anterius,elülső
antevérsio,szerv előredőlése
anthracosis,bányásztüdő
anthrax,lépfene
anthropo-,ember-
anti-,elleni-
antiallergicum,allergia ellenes gyógyszer
antianaemicum,szegényvérűség elleni gyógyszer
antiasthmaticum,asztma elleni szer
antibacterialis,baktériumellenes
antibiosis,kapcsolat organizmusok között
antibiotica,antibiotikumok
antibiotikum,baktériumok okozta fertőzések kezelésére való gyógyszer
anticancerosus,rákellenes
anticoagulans,véralvadást gátló gyógyszer
anticonceptio,fogamzásgátlás
anticoncipiens,fogamzásgátló
antidiabetica,cukorbetegség elleni szerek
antidiureticum,vizeletképzést csökkentő szer
antidiureticus,vizelet képzését csökkentő
antidotum,ellenszer
antiemetica,hányást megelőző szerek
antiemeticum,hányás elleni szer
antiepileptica,epilepsziaellenes szerek
antiepilepticum,epilepsziaellenes szer
antifebrile,lázcsillapító
antifibroticus,antifibrotikus
antihipertenzívum,vérnyomáscsökkentő gyógyszer
antihistaminica,hisztaminhatást gátló szerek
antihistaminicum,hisztaminhatást gátló szer
antihoralis,óramutató járásával ellentétes irányú
antihormon,hormon hatását gátló
antihypnoticus,alvásgátló
antineuralgica,idegfájdalom elleni szerek
antiparallel,ellentétes
antiparalyticus,bénulásellenes
antiparasitica,élősdi elleni szerek
antiparasiticum,élősködő elleni szer
antipathia,ellenszenv
antiperistaltica,ellenkező irányú bélmozgás
antiphlogisticus,gyulladásgátló
antipruritica,viszketéscsillapítók
antipruriticum,viszketéscsillapító
antipyretica,lázcsiliapító szerek
antipyreticum,lázcsillapító
antirheumaticum,reuma elleni szer
antisepticum,fertőtlenítőszer
antispasmodica,görcsoldó szerek
antispasmodicus,görcsoldó
antistreptolysin,antisztreptolizin
antitest,"speciális fehérje, amely felismeri a szervezetbe jutott károsító anyagokat (pl. vírusok), segítve az immunrendszer pusztító folyamatait"
antitussiva,köhögéscsillapító szerek
antitussivum,köhögéscsillapító szer
antitussivus,köhögésoldó
antivitamin,vitaminsemlegesítő
antrum,üreg
antrum pyloricum,pylorus feletti tágult rész
anularis,gyűrűalakú
anulus,gyűrű
anulus fibrosus,rostporcos gyűrű
anuria,nincs vizelet
anus,végbélnyílás
anus atresia,Ectopiás végbélnyílás
anus praeternaturalis,mesterséges végbélnyílás
anus praeternaturalis definitivus,végleges mesterséges végbélnyílás
anxietas,"félelemérzet, szorongás"
anxiolytica,szorongást elleni szerek
anxiosus,szorongó
aorta,"főütőér, mely a szívből az oxigéndús vért szállítja a szervek felé"
aorta abdominalis,hasi aorta
aorta ascendens,felszálló aorta
aorta descendens,leszálló aorta
aorta dissectio,aorta disszekció
aorta stenosis,főütőér szűkület
aorta thoracica,mellkasi aorta
aortalgia,főverőértájéki fájdalom
aortasztenózis,a főütőér billentyűjének szűkülete
aortectasia,az aorta tágulata
aortectomia,aorta egy részének műtéti eltávolítása
aortitis,főverőér gyulladása
aortitis luetica,szifiliszes aortagyulladás
aortitis rheumatica,reumatikus aortagyulladás
aortographia,aorta kontrasztanyagos röntgenfelvétele
aortolith,aortakő
aortomalacia,főverőér lágyulása
aortopathia,aortabántalom
aortopathia,aortabetegség
aortorrhaphia,főverőér műtéti varrata
aortosclerosis,aorta-elmeszesedés
aortostenosis,főverőér-szűkület
aortotomia,főverőér műtéti metszése
apathia,közöny
apepsia,emésztés hiánya
apertura,nyílás
apertura lateralis ventriculi quarti,Luschka nyílás
apertura mediana ventriculi quarti,Magendie nyílás
apertura nasi externa,orrlyukak
apertura piriformis,csontos orrnyílás
apertus,nyílt
apex,Csúcs
apex cordis,szívcsúcs
apex dentis,fogcsúcs
apex linguae,nyelvcsúcs
apex nasi,orrcsúcs
apex radicis,gyökércsúcs
apex radicis dentis,foggyökércsúcs
aphagia,nyelési nehézség
aphakia,a szemlencse hiánya
aphonia,hangadási képtelenség
apicalis,Fog gyökerének csúcsa felé tekintő irány
apicectomia,foggyökér műtétí eltávolítása
apicitis,csúcs gyulladása
apicolysis,csúcsleválasztás
apicotomia,gyökércsúcscsonkolás
apis,méh
apituitarismus,a hypophysis működéskiesése
apium graveolens,zeller
aplanaticus,lencsehibát korrigáló
aplasia,fejlődés elmaradása
aplasia nervi optici,látóideg fejlődés elmaradása
apnea,légzésmegállás
apnoe neonatorum,újszülött légzésmegállása
apodia,láb hiánya
apokrin,elválasztó
apomorphinum hydrochloratum,sósavas apomorphin
aponeurosis,aponeurózis
aponeurosis,"bőnye, izmok közötti kötőszövet"
aponeurosis,lapos íny
aponeurosis palmaris,inas lemez
apoplectiformis,agyvérzés-szerű
apoplectiformis,gutaütésszerű
apoplexia,"agyvérzés, szélütés"
apoplexia cerebri,agyvérzés
apoplexiformis,agyvérzés-szerű
apoptosis,fiziológiás sejthalál
apostema,"gennyel telt üreg, tályog"
apostematosus,tályogos
apparatus,műszer
apparatus genitalis,ivarszervek
apparatus juxtaglomerularis,juxtaglomeruláris készülék
apparatus lacrimalis,könnykészülék
apparatus respiratorius,légzőrendszer
apparatus suspensorius lentis,szemlencsefüggesztők
apparatus urogenitalis,húgy- és ivarszervek
appendectomia,a vakbél sebészi eltávolítása
appendices,függelékek
appendices atriales,pitvarfüggelék
appendices epiploicae,vastagbél-serosa kettőzete
appendices vermiformis,féregnyúlvány
appendicitis,féregnyúlvány gyulladás (vakbélgyulladás)
appendicitis acuta,heveny féregnyúlványgyulladás
appendicitis apostematosa,tályogos féregnyúlványgyulladás
appendicitis fulminans,gyorsan lezajló féregnyúlványgyulladás
appendicitis gangraenosa,üszkös féregnyúlvány-gyulladás
appendicitis granulosa,sarjas féregnyúlvány-gyulladás
appendicitis perforativa,átfúródásos féregnyúlvány-gyulladás
appendicitis suppurativa,gennyes féregnyúlvány-gyulladás
appendicitis ulcerosa,fekélyes féregnyúlvány-gyulladás
appendicolithiasis,kőképződés a féregnyúlványban
appendicopathia,féregnyúlvány-bántalom
appendicularis,függelékhez tartozó
appendieularis,függeléki
appendix,"féregnyúlvány, függelék"
appendix vermiformis,féregnyúlvány
apperceptio,érzéki benyomások felfogása
appetitus,étvágy
appositio,rárakódás
approximalis,"megközelítő, szomszédos fog felé tekintő"
approximativ,megközelitő
aptyalismus,Nyálhiány
apyrexia,láztalanság
aq.,hidro-
aqua,víz
aqua calcis,meszes víz
aqua carminativa,szélhajtó víz
aqua corporis,testvíz
aqua destillata,desztillált víz
aqua plumbica,higított aljas ecetsavas ólom-oldat
aquaeductus cerebralis,agyi vízvezeték
aquaeductus vestibuli,pitvarcsatorna
aquisitus,szerzett
arachis hypogea,földimogyoró
arachnitis,arachnoidea (agyhártya) gyulladása
arachnodactylia,"keskeny és hosszú ujjak, pókujjasság"
arcuate,hajlított
arcus,ív
arcus alveolaris,felső fogmedri ív
arcus aortae,aortaív
arcus costalis,bordaív
arcus dentalis,fogív
arcus dentalis inferior,alsó fogsor
arcus dentalis superior,felső fogsor
arcus hyoideus,nyelvalatti ív
arcus mandibularis,állkapcsi ív
arcus pubis,szeméremív
arcus vertebrae,csigolyaív
arcus zygomaticus,járomív
cysta maxillae,arcüregi cysta
ardor urinae,égő húgyút
ardor ventriculi,gyomorégés
ARDS,felnőttkori légzés distress syndroma
area,terület
area olfactoria,szagló agykérgi mezők
area praeoptica,preoptikus terület
Arecae semen,arekadió
areflexia,reflexek hiánya
areola,"kis terület, udvar"
areola mammae,emlőbimbóudvar
argentum nitricum crystallisatum,jegecedett légenysavas ezüst
arrhythmia absoluta,abszolút ritmuszavar
arrhythmia respiratoria,légzés okozta szabálytalan szívverés
arritmia,szívritmuszavar
arrosio,kimaródás
Arteri-,Verőér
arteria,"artéria, verőér, az oxigéndús vért szállító erek megnevezése"
arteria axillaris,hónaljartéria
arteria basilaris,agyalapi verőér
arteria brachialis,felkarverőér
arteria carotis,nyaki verőér
arteria carotis communis,közös fejverőér
arteria carotis communis dextra,jobb közös fejverőér
arteria carotis communis sinistra,bal közös fejverőér
arteria carotis externa,külső fej verőér
arteria carotis interna,belső fej verőér
arteria coronaria,koszorúartériák
arteria coronaria cordis,szívkoszorúér
arteria coronaria cordis dextra,jobb koszorúér
arteria coronaria cordis sinistra,bal koszorúsér
arteria femoralis,combverőér
arteria hepatica,májartéria
arteria iliaca communis,közös csípőverőér
arteria iliaca externa,külső csípőverőér
arteria interlobaris,lebenyek közötti artériaágak
arteria interossea,csontközi verőér
arteria lienalis,lép artéria
arteria maxillaris,állcsonti artéria
arteria meningealis,agyhártya-artéria
arteria mesenterica,bélfodor verőér
arteria mesenterica inferior,alsó bélfodri verőér
arteria ophthalmica,szemverőér
arteria poplitea,térdhajlati verőér
arteria profunda penis,penis fő artériája
arteria pulmonalis,tüdőartéria
arteria renalis,veseartéria
arteria splenica,lép artéria
arteria subclavia,kulcscsont alatti verőér
arteria subscapularis,lapocka alatti verőér
arteria temporalis,halánték verőere
arteria tibialis posterior,hátsó sípcsonti verőér
arteria ulnaris,singcsonti verőere
arteria umbilicalis,köldök artéria
Arteria vaginalis,hüvelyi ütőér
arteria vertebralis,csigolyaartéria
arteriae,verőerek
arteriae cerebrales,agyerek
arteriae coronariae cordis,szívkoszorúerek
arteriae coronariae dextra,jobb koszorús verőerek
arteriae coronariae dextra et sinistra,jobb és bal koszorús verőerek
arteriae coronariae sinistra,bal koszorús verőerek
arteriae epigastricae,gyomorfölötti ütőerek
arteriae meningeae,agyhártyaütőér
arteriae umbilicales,köldök verőerei
arterialis,verőérrel kapcsolatos
arteriitis,verőérgyulladás
arteriitis temporalis,óriássejtes-artéria-gyulladás
arteriola,kis artéria
arteriolae,kis verőerek
arteriolonecrosis,arteriolaelhalás
arteriomalacia,verőérfal lágyulása
arterionecrosis,verőérelhalás
arteriorrhexis,verőérfal-szakadás
arteriosclerosis,arterioszklerózis
arteriosclerosis,érelmeszesedés
arteriosclerosis cerebralis,agyi érelmeszesedés
arteriosclerosis cerebri,agyi verőerek elmeszesedése
arteriosclerosis obliterans,elzáródással járó verőér-keményedés
arteriosclerosis renis,veseér-elmeszesedés
